run_index,carrier_frequency_hz,modulation_order,bits_per_symbol,symbol_time_seconds,symbol_rate_baud,raw_bit_rate_bps,samples_per_symbol,compared_bits,bit_errors,ber,estimated_channel_gain,estimated_level_spacing,timing_offset_samples,preamble_score,preamble_start_sample
1,8000.00000000,2,1,0.005000000,200.00000000,200.00000000,240,840,0,0.000000000,0.021544067,0.017235254,10,0.539777926,46255
2,8000.00000000,4,2,0.005000000,200.00000000,400.00000000,240,840,0,0.000000000,0.016075878,0.004286901,10,0.666161987,259617
3,8000.00000000,8,3,0.005000000,200.00000000,600.00000000,240,840,2,0.002380952,0.016008430,0.001829535,7,0.676095466,372178
4,8000.00000000,16,4,0.005000000,200.00000000,800.00000000,240,840,22,0.026190476,0.015960079,0.000851204,7,0.598780390,451139
5,8000.00000000,32,5,0.005000000,200.00000000,1000.00000000,240,840,104,0.123809524,0.016379868,0.000422706,7,0.678625775,513299
6,8000.00000000,64,6,0.005000000,200.00000000,1200.00000000,240,840,176,0.209523810,0.016734979,0.000212508,7,0.630256267,565379
7,8000.00000000,128,7,0.005000000,200.00000000,1400.00000000,240,840,190,0.226190476,0.016827872,0.000106002,7,0.641277178,610740
8,8000.00000000,256,8,0.005000000,200.00000000,1600.00000000,240,840,228,0.271428571,0.017334081,0.000054381,7,0.683138300,651300
