run_index,center_frequency_hz,num_positive_subcarriers,total_used_subcarriers,pilot_subcarriers_per_frame,data_subcarriers_per_frame,num_ofdm_frames,occupied_baseband_bandwidth_hz,compared_bits,bit_errors,ber,rms_evm,timing_offset_samples,preamble_score,preamble_start_sample
1,12000,16,32,4,28,32,187.50000000,3584,0,0.000000000,0.077834588,-1,0.643571256,37809
2,12000,32,64,8,56,16,375.00000000,3584,0,0.000000000,0.068306389,2,0.722180561,213170
3,12000,64,128,16,112,8,750.00000000,3584,0,0.000000000,0.069731597,1,0.751995422,306611
4,12000,128,256,32,224,4,1500.00000000,3584,0,0.000000000,0.071019447,0,0.759992701,359092
5,12000,256,512,64,448,2,3000.00000000,3584,0,0.000000000,0.067497598,-1,0.775079351,391092
6,12000,512,1024,128,896,1,6000.00000000,3584,4,0.001116071,0.104717862,-2,0.735778638,412852
